ANO_EXERCICIO,BAIRRO,TIPO_USO,AREA_TERRENO,AREA_CONSTRUIDA,VALOR_VENAL_IMOVEL,VALOR_M2
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RESTINGA,Exclusivamente Residencial,150.0,17.0,47935.82,2819.75
2025,RIO BRANCO,Exclusivamente Residencial,5.94,18.0,69740.02,3874.45
2025,RIO BRANCO,Exclusivamente Residencial,5.94,18.0,69740.02,3874.45
2025,RIO BRANCO,Exclusivamente Residencial,4.62,14.0,54669.6,3904.97
2025,RIO BRANCO,Exclusivamente Residencial,11.54,35.0,140520.26,4014.86
2025,RIO BRANCO,Exclusivamente Residencial,5.94,18.0,69740.02,3874.45
2025,RIO BRANCO,Exclusivamente Residencial,10.55,32.0,128255.88,4008.0
2025,RIO BRANCO,Exclusivamente Residencial,89.7,272.0,1094021.24,4022.14
2025,RIO BRANCO,Exclusivamente Residencial,88.38,268.0,1075104.56,4011.58
2025,RIO BRANCO,Exclusivamente Residencial,88.38,268.0,1075104.56,4011.58
2025,RIO BRANCO,Exclusivamente Residencial,89.7,272.0,1094021.24,4022.14
2025,RIO BRANCO,Exclusivamente Residencial,60.67,199.0,946439.3,4755.98
2025,RIO BRANCO,Exclusivamente Residencial,88.73,291.0,1384994.18,4759.43
2025,RIO BRANCO,Exclusivamente Residencial,96.04,315.0,1502075.46,4768.49
2025,RIO BRANCO,Exclusivamente Residencial,9.15,30.0,142505.34,4750.18
2025,RIO BRANCO,Exclusivamente Residencial,5.49,18.0,83964.7,4664.71
2025,RIO BRANCO,Exclusivamente Residencial,4.27,14.0,65733.24,4695.23
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,388.0,200.0,629862.56,3149.31
2025,ANCHIETA,Exclusivamente Residencial,427.0,187.11,549487.74,2936.71
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,642.0,284.12,732758.23,2579.04
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,330.0,374.0,731720.22,1956.47
2025,ANCHIETA,Exclusivamente Residencial,185.63,153.0,323971.17,2117.46
2025,ANCHIETA,Exclusivamente Residencial,144.38,119.0,268954.89,2260.13
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,396.0,292.0,612139.52,2096.37
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,776.0,627.0,1368022.74,2181.85
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,393.0,299.0,632535.36,2115.5
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,121.3,272.0,454587.92,1671.28
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,495.0,423.0,932456.34,2204.39
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,173.1,116.0,273514.86,2357.89
2025,ANCHIETA,Nï¿½o Exclusivamente Residencial,389.0,250.75,643254.76,2565.32
2025,ANCHIETA,Exclusivamente Residencial,389.0,83.0,362251.73,4364.48
